Table_7
0, 1981-08-22, 2, 23:31:30, 
1, 1963-06-04, 1969-01-24, 23:31:30, 
1, 1964-03-17, 1999-05-21, 23:31:30, 
1, 1981-01-21, 1987-04-19, 23:31:30, 
1, 1976-06-26, 1986-04-21, 23:31:30, 
1, 1966-08-02, 1999-05-12, 23:31:30, 
1, 1965-03-15, 1977-12-13, 23:31:30, 
1, 1973-04-09, 1996-06-01, 23:31:30, 
1, 1991-08-08, 1999-09-12, 23:31:30, 
1, 1974-04-07, 1981-11-05, 23:31:30, 
1, 1988-04-21, 1991-06-05, 23:31:30, 
1, 1989-09-20, 1997-03-22, 23:31:30, 
1, 1970-08-31, 1986-02-10, 23:31:30, 
1, 1966-11-03, 1986-11-30, 23:31:30, 
1, 1971-10-19, 1974-09-08, 23:31:30, 
1, 1966-09-12, 1979-08-09, 23:31:30, 
1, 1979-04-04, 1995-05-20, 23:31:30, 
1, 1972-03-02, 1999-06-09, 23:31:30, 
1, 1974-10-03, 1996-11-10, 23:31:30, 
1, 1976-10-25, 1978-10-24, 23:31:30, 
1, 1973-09-27, 2002-01-19, 23:31:30, 
1, 1959-07-27, 1988-09-10, 23:31:30, 
1, 1965-12-24, 1968-10-20, 23:31:30, 
1, 1968-03-13, 1976-07-15, 23:31:30, 
1, 1960-12-30, 2002-06-24, 23:31:30, 
1, 1964-10-18, 1992-09-09, 23:31:30, 
1, 1976-03-11, 1987-07-18, 23:31:30, 
1, 1960-05-15, 1996-03-01, 23:31:30, 
1, 1981-03-06, 1994-02-05, 23:31:30, 
1, 1980-01-04, 1981-02-26, 23:31:30, 
1, 1973-06-12, 1987-07-12, 23:31:30, 
1, 1971-10-04, 1976-02-13, 23:31:30, 
1, 1987-02-09, 2002-04-12, 23:31:30, 
1, 1971-12-26, 1991-08-11, 23:31:30, 
1, 1986-02-19, 1987-03-04, 23:31:30, 
1, 1976-07-06, 1995-02-20, 23:31:30, 
Table_5
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
1, 2, Row_0, Row_3, 
Table_4
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
0, 1, 2, 3, 
Table_3
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
1, 23:31:30, 3, Row_2, 
Table_2
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
1, 23:31:30, 23:31:30, 3, 
Table_1
1986-06-10, 2, Row_0, Row_1, 
1986-11-08, 2, Row_0, Row_1, 
1964-10-17, 2, Row_0, Row_1, 
1993-01-12, 2, Row_0, Row_1, 
1967-11-28, 2, Row_0, Row_1, 
1988-01-06, 2, Row_0, Row_1, 
2, 2002-07-25, Row_0, Row_1, 
1996-02-15, 2, Row_0, Row_1, 
1976-07-03, 2, Row_0, Row_1, 
1980-02-07, 2, Row_0, Row_1, 
1959-09-22, 2, Row_0, Row_1, 
1986-05-14, 2, Row_0, Row_1, 
1964-04-14, 2, Row_0, Row_1, 
1980-02-01, 2, Row_0, Row_1, 
1958-09-05, 2, Row_0, Row_1, 
1993-04-05, 2, Row_0, Row_1, 
1966-05-24, 2, Row_0, Row_1, 
2, 2001-09-03, Row_0, Row_1, 
2, 2001-11-29, Row_0, Row_1, 
2, 2003-11-18, Row_0, Row_1, 
1979-05-07, 2, Row_0, Row_1, 
1975-09-29, 2, Row_0, Row_1, 
1985-05-01, 2, Row_0, Row_1, 
1996-09-12, 2, Row_0, Row_1, 
1969-01-28, 2, Row_0, Row_1, 
1994-01-13, 2, Row_0, Row_1, 
1998-03-06, 2, Row_0, Row_1, 
1984-09-12, 2, Row_0, Row_1, 
1970-06-23, 2, Row_0, Row_1, 
1969-07-24, 2, Row_0, Row_1, 
1992-01-19, 2, Row_0, Row_1, 
1967-09-04, 2, Row_0, Row_1, 
1968-02-07, 2, Row_0, Row_1, 
2, 2003-04-06, Row_0, Row_1, 
1982-09-19, 2, Row_0, Row_1, 
2, 2002-01-31, Row_0, Row_1, 
1967-05-26, 2, Row_0, Row_1, 
1980-03-14, 2, Row_0, Row_1, 
1997-01-13, 2, Row_0, Row_1, 
1984-03-29, 2, Row_0, Row_1, 
1992-06-24, 2, Row_0, Row_1, 
1995-10-17, 2, Row_0, Row_1, 
1958-10-18, 2, Row_0, Row_1, 
1973-12-28, 2, Row_0, Row_1, 
1990-05-19, 2, Row_0, Row_1, 
1973-02-08, 2, Row_0, Row_1, 
